iter	Logloss
0	0.6895291771
1	0.6857924928
2	0.6821207711
3	0.6784746274
4	0.6749786561
5	0.671515387
6	0.6681575815
7	0.6649297529
8	0.6616967122
9	0.658417119
10	0.6550196619
11	0.651882987
12	0.6486507747
13	0.6456293356
14	0.6426512315
15	0.639609233
16	0.6366875982
17	0.6337572498
18	0.6309590109
19	0.628142944
20	0.6255849128
21	0.6229411355
22	0.6203886375
23	0.6177076318
24	0.6151050992
25	0.6125763527
26	0.6100359393
27	0.6076788431
28	0.6052425185
29	0.6027535946
30	0.600316611
31	0.5980166438
32	0.5956614763
33	0.5934166875
34	0.5912086786
35	0.5891285927
36	0.586956481
37	0.5847811279
38	0.5826300819
39	0.5804752288
40	0.5784144997
41	0.5764782492
42	0.5745823507
43	0.5726834235
44	0.5707576569
45	0.5688715921
46	0.5670550711
47	0.5651748616
48	0.5635366922
49	0.5617178279
50	0.5599611987
51	0.5583613166
52	0.5566565443
53	0.5550211728
54	0.5534363035
55	0.5517847639
56	0.550201477
57	0.5485937204
58	0.5469958788
59	0.5455566547
60	0.5440982306
61	0.5426998585
62	0.5412769355
63	0.5399291299
64	0.5384954815
65	0.537074312
66	0.5357345653
67	0.5344523962
68	0.5330393762
69	0.5316916106
70	0.5304678696
71	0.5291357307
72	0.527883164
73	0.5266710561
74	0.5254747418
75	0.5242422315
76	0.5230367955
77	0.5216448068
78	0.5204284685
79	0.51904079
80	0.5176926433
81	0.5164844288
82	0.5151838643
83	0.5139259159
84	0.5126956797
85	0.5114181975
86	0.5101479063
87	0.5090681328
88	0.5078265903
89	0.5066328228
90	0.5055924731
91	0.5044006896
92	0.5032558197
93	0.5022132816
94	0.501082304
95	0.5000283994
96	0.4989454591
97	0.4978476698
98	0.4967997425
99	0.4957680382
