iter	Passed	Remaining
0	53	5326
1	110	5418
2	163	5280
3	206	4953
4	264	5020
5	317	4981
6	369	4907
7	417	4796
8	466	4716
9	513	4624
10	569	4606
11	617	4525
12	665	4455
13	720	4427
14	773	4385
15	833	4377
16	903	4410
17	981	4473
18	1037	4424
19	1102	4409
20	1168	4397
21	1228	4355
22	1281	4288
23	1329	4211
24	1386	4159
25	1440	4099
26	1493	4039
27	1533	3942
28	1580	3869
29	1618	3777
30	1656	3688
31	1693	3598
32	1732	3517
33	1776	3449
34	1816	3372
35	1847	3283
36	1872	3189
37	1897	3096
38	1926	3013
39	1952	2928
40	1982	2853
41	2012	2778
42	2043	2708
43	2071	2636
44	2098	2564
45	2120	2489
46	2142	2416
47	2164	2345
48	2191	2280
49	2215	2215
50	2237	2149
51	2257	2084
52	2275	2018
53	2293	1953
54	2311	1891
55	2342	1840
56	2363	1782
57	2385	1727
58	2403	1670
59	2421	1614
60	2439	1559
61	2456	1505
62	2475	1453
63	2495	1403
64	2512	1352
65	2532	1304
66	2549	1255
67	2566	1207
68	2587	1162
69	2606	1116
70	2628	1073
71	2652	1031
72	2686	993
73	2732	960
74	2775	925
75	2809	887
76	2836	847
77	2868	809
78	2878	765
79	2909	727
80	2939	689
81	2966	651
82	2997	613
83	3025	576
84	3058	539
85	3089	502
86	3130	467
87	3150	429
88	3181	393
89	3207	356
90	3236	320
91	3268	284
92	3297	248
93	3314	211
94	3338	175
95	3363	140
96	3391	104
97	3419	69
98	3448	34
99	3471	0
